Author,Comment,Guesses
Scott Satyr,"623 lbs?",623
Alessandro Ronchi,"617 pounds?",617
Juho,"634 pounds?",634
Marc W.,"Lee: 178 lbs\nRob: 220 lbs \nBea: 271 lbs\nTotal Combined Weight: 669 lbs?",669
Martin Morgan,"617 pounds?",617
Michael Tuggey,"Hey Guys\n\nRob=225\nCaptain=150\nRabea=265\nTotal=640 pounds?",640
Padraig Kelly,"220 lbs????",
Sylph29,"776 Pounds?",776
Shawn Gierling,"687?",687
not available,"Well I guess around 750 pounds. I hope that's not too much :D?",750
plankskate,"total: 673?",673
Yeager Mcbipper,"689.6lbs  Send me my pedal board!?",689
Robert Allpress,"Total 672 lb?",672
jblazeby,"Lee=182 lbsRob=191 lbsRabea=210 lbsTotal=583 lbsI also loved the Pink Floyd sound.?",583
Moderately Confused,"I'd guess around 680 pounds.?",680
Barry,"answer is 787.5 lb?",787
Sebasti?n Calder?n,"I'd say 619 lb?",619
Neidermeyer,"606<comma>271 pounds??",606
Stallion ?Master? Duck,"632lbs... Thanks to google?",632
Filipe Prates,"Rob-207lb\nLee-158lb\nRabea- 243lb\n\n608 pounds!?",608
97/jrb,"574?",574
The Intellectual Cat,"670lb  I think :)?",670
twdeneka,"613 LBS?",613
stuartstrong,"I'm going 715 lbs?",715
chanthru100,"743ib?",743
Daan Benting,"going for 531 pounds?",531
Thomas Childs,"742 lbs?",742
Haydn Walker,"Lee = 154 + Rob = 224 + Rabea = 252 // TOTAL = 630?",630
HellaMotor,"621 lbs?",621
Tyler Johnson,"674... I'm actually hoping for a second place since Lee's board is pretty awesome. But that Hustle Drive is sweet. Have to put it on my list of Mooer pedals to check out along with the Trelicopter.?",674
Joannaanna,"620?",620
AJ Brown,"641....and a half lbs?",641
Oscar Beavis,"550 pounds?",550
Mirgkos Mirgkopoulos,"i'd say 559 pounds!?",559
Jacqustic Music,"560 lbs \nChappy's got the force - and now I want it too!?",560
Johannes Otter,"617 lbs?",617
Linus GOBEAUX,"Total: 711<comma>87 lbs?",711
Joe Lovelace,"610 lbs?",610
Chris Thompson,"I'm going with 667!?",667
KIZIL ?UMTTGAMER? GAMER,"Rob 227\nLee 168\nOther guy 253\nTotal 648 ibs?",648
LukeCabreraMusic,"691?",691
stackhouse22,"I guess 606 pounds!\nGreetings from Germany! ????",606
Leo Rosario,"Rob - 326\nCap - 189\nBea - 257\nTotal - 672?",672
bob Roberts,"663 pounds ?",663
Stoffe Pro,"639.341?",639
Randall van der Tak,"I think Lee is 90 Kg's\n                           Rob is 100 Kg\n                  and Rabea is 110 Kg's\n                          +5 kg's of coffee \nmakes for about 305Kg's of love or 672 lbs for those who like non-scientific units.?",672
Quinn Joubert,"Rob= 195 lbs\nLee= 150\nBea= 257\nTotal= 602\nLove the videos<comma> Keep it up. Helped me a lot when i bought another guitar.?",602
Antoine Horguelin,"My guess is that the combined weight is 639 pounds ! :)?",639
Lord Beluga,"Guess:518 pounds?",518
Mat Colosus,"Great video - superb editing (it made my day!). I say a lean 560 pounds.?",560
TheBonelesstoast,"692 lb?",692
CheshireTomcat68,"626 lb. Not breaking it down<comma> that's rude?",626
Matth?as Helgi Sigur?arson,"760 lb?",760
Eric Blomqvist,"684 pounds!?",684
Blake Leslie,"I'm going to guess 647lbs.?",647
Zach Barth,"634 pounds in total.?",634
Ryan White,"651 lbs!?",651
imgonnagetbanned,"All three of you I'd say are <b>588 lbs</b> combined!?",588
Federico Favaro,"My guess is 631 pounds?",631
Ben Bergamasco,"693 lbs?",693
ochoa2593,"My guess is 631 just because I suck at guessing.?",631
Jonas Lundquist,"631<comma>5 pounds!?",631
Solomon Hirsch,"654lb I reckon!?",654
Vicki Sayers,"My guess is 648 lb ????",648
Tyler Hague,"723?",723
wabalabalabda badabada,"583pounds?",583
Paul Hailey,"619 lbs?",619
Craig McClellan,"Lee = 186\nRob = 239\nRabea = 258\nTotal = 583 lbs?",583
Jan Me,"My guess: 683 lbs?",683
Evan Boyd,"Total weight guess is 632?",632
Luka Aeschlimann,"Lee = 160\nRob = 195\nRebea = 260\n\nTotal = 615?",615
Calvin Lee,"579 pounds. \nthat is my guess.\n(i really want the captain's board)?",579
Solomon Hirsch,"what;s the chord sequence at <a href="http://www.youtube.com/watch?v=FOw7ViIp25A&t=16m25s">16:25</a>??",
Samuel King,"Lee:176lbs \nChappers:202lbs\nRabbea:221lbs \nTotal:599lbs?",599
Magnus Haag,"582 pounds.?",582
Steve Pearson,"681 pounds!?",681
Julius Kr?ger,"Lee: 175pounds\nRob: 220pounds\nRabbea: 280 pounds\nso in total.. 675pounds?",675
Diavel80,"643 lb?",643
fred rispin,"147 - Lee\n\n182 - Rob\n\n238 - Bea\n\n567 - Total?",567
Chunky Brewster,"Let's go with 644.?",644
Adam Pemberton,"Id say the total weight is somewhere around  574 lb.\nHope  I am close both those boards are funky as hell! \nThanks guys?",574
Elijah Parrella,"Bea- 274 lbs\nLee- 179 lbs\nRob- 231 lbs\nTotal- 684?",684
Shawn Robinson,"Lee = 176\nRob= 223\nRabea = 270\nTotal = 669?",669
Gianmarco Sasso,"Total score: 654<comma>773 lb?",654
Swupperdupper,"Lee = 167\nRob = 188\nRabea = 242\n\nTotal =598 lbs?",598
Michael Mollison,"Lee: 165 lbs\nRob: 220 lbs\nBea: 245 lbs\nTotal: 630 lbs?",630
Friek555,"(78 + 98 + 123) kg = 299 kg = <b>659 lbs</b>?",659
Gabor Koncz,"606?",606
Gordy S,"591 obvs?",591
beftus1264,"Combined weight: 608.5 lbs?",608
Trevor Thurlow,"I'll go with a total of... 612 lbs.?",612
Liam Cook,"My guess is 645 pounds?",645
Francisco Alves,"637.2 pounds?",637
Adam Kolb,"568?",568
Anish Kolhatkar,"656.97?",656
Francisco Lourandes,"Lee = 182\nRob = 211\nRabea = 257\nTotal = 650 pounds?",650
Luke Barrow,"567?",567
James storey,"I guess 616lbs?",616
coubiakb,"i will go for 569lbs?",569
VakenLeBarbare,"My guess is 670.2 lb.?",670
Brian Lewis,"Im gonna guess 642 pounds?",642
Martin Blackburn (Martok1990),"i'm gonna go with 678.88 Pounds?",678
Brett Burwell,"680?",680
ralarcon,"714lbs?",714
nextstepforward,"585lbs?",585
Ryan Lara,"727 lbs!?",727
Rod Zubt,"637 pounds?",637
Felipe Andr?,"627 lbs total.?",627
Lommick,"my guess is 667<comma>2 pounds?",667
Pete Knowles,"Chappers 243 lbsCaptain 174 lbsRabea 257 lbsTotal 674 lbs??",674
fotis ff,"i guess 681 lb..?",681
???? ?????,"573 pounds.?",573
ColinL123,"671?",671
acwildcat88,"634 lbs combined total?",634
Patrick Meadows,"652 lbs?",652
Luke Deehan,"815 pounds is my geuss.?",815
Chris Kocher,"Lee:174\nRob:215\nBea:265\nTotal:654 LBS of Awesome.?",654
Rodrigo Corr?a,"712lbs!?",712
Jessie Renfro,"675?",675
ballan979,"640 pounds?",640
Ryan Peterson,"674?",674
Floriaan De Groeve,"608<comma>476 lbs?",608
Joe W,"710\nRob @ 250\nLee @ 160\nRabea @ 300?",710
Isaak Rhynes,"I'm going to guess 634 lbs??",634
Andre ?MisterKawusel? Skywalker,"My guess is 632 lb?",632
TheCyho,"I guess 674 lbs of good old fashioned guitar nerds.?",674
coysaxmaster7,"695 pounds?",695
Simon Yung,"650 is my guess?",650
Alex Smith,"I'm guessing 648 - fantastic pedals!!?",648
YingYangForce,"My guess is 630 pounds.?",630
Tommy Noble,"691 lbs?",691
Kush God,"I'm gonna go with 621!!!?",621
Jcarr21,"694?",694
Ezekiel Verdan,"660 lbs\nRob-230lbs\nLee-190lbs\nBea-240lbs?",660
Steve Langdon,"671lbs total?",671
HankBobsWorld,"Total weight: 705 pounds?",705
Kley De Jong,"Total weight guess is 635 lbs.?",635
CaptPostmod,"WEIGHT equals 569 lbs. \nNow with that out of the way?I just picked up a Mooer Blues Crab after developing a hankering for a BB V1 clone. Great pedal! It loves stacking with my Archer iKon.?",569
1nilspils,"628 lbs?",628
?ukasz Rudzi?ski,"647 lbs i think :v?",647
Graeme Coultrip,"590?",590
Matt Bewley,"total weight = 674 lb?",674
Tanner Fair,"lee is around 191lbs rob is about 228lbs and bea is around 272lbs so the total weight should be about 691?",691
TheFerrarifan18,"Lee- 162\nRob- 215\nBea- 260\nTotal- 637?",637
Geokas300,"695?",695
Matteo Carauzi,"612 lb?",612
yeah man,"Lee: 176 lbs\nRob: 233 lbs\nRabea: 288 lbs\nTotal: 697 lbs?",697
Andrew Boylan,"I'd have to go with a total of 673 lbs.?",673
Themeraldoctor,"Lee - 189 Pounds (13 1/2 Stone<comma> 85.7 Kg)\nRob - 230 Pounds (16 1/2 Stone<comma> 104.8 Kg)\nRabea - 270 Pounds (19 3/10 Stone<comma> 122.5 Kg)\n\nTotal - 689 Pounds (49 3/10 Stone<comma> 313 Kg)\n\nGreat Pink Floyd-esque playing today Lee! They are my favorite all-time band! Your playing has definitely become more expressive over the last couple years. Keep up the great work guys and good luck to everyone!!?",689
Bryce Wandell,"665.3 combined?",665
Steve Heys,"Im guessing 669 on a "medical" weigh-in basis. No pictures though please!?",669
Beserkin32,"lee -195\nRob-210\nBea-250\ntotal-655?",655
ChaosStrike47,"634 lbs?",634
Cas van der Beek,"672 lb total is my guess\nLove the video<comma> as usual ;-)?",672
Kerry ?The Black One? Czorny,"699 boys....?",699
Taylor The Warlock,"Lee - 156\nRob - 220\nBea - 247\nTotal - 623?",623
Aman Bahuguna,"Total: 613lb?",613
Ned Zimin,"619lbs no more fish n chips boys :D?",619
Jasper McCulloch,"Guessing 590lbs?",590
Jose F Gonzalez,"661 pounds?",661
TheBask92,"My guess is 542 lb?",542
Gerald Herman,"727.525 lb?",727
Soylent Greene,"My guess is 620lb?",620
Nicolas Menshenin,"586 pinds?",586
David Imrie,"751 lbs?",751
matt broadus,"720 lbs?",720
Ely Martinez,"420 pounds?",420
Jan Brenner,"This is a sure thing: 716<comma>5 lb all together.?",716
Pedro Correia,"I guess the three weight 600 pounds?",600
xTenshi13,"My guess is 635 lbs?",635
TheShootthemessenger,"710 pounds combined weight<comma>\nLee= 154\nRob= 224\nRabea=332?",710
Will Pietrusiewicz,"643 lbs?",643
thor999,"690 my guess?",690
bleakryan,"632?",632
Scottisepichd 1,"620lbs?",620
Mitchy Moonelihte,"I woulld assume 655lbs.?",655
Isidoro Delgado,"My guess after Google conversion from kg is 639<comma>341pounds. Great show guys!! ????",639
Mitchy Moonelihte,"My guess would be that the combined weight is 635lbs.?",635
Phoebe-Anne Roberts,"578 lbs?",578
Brian Hegge,"652 pounds?",652
Jesse Spence,"675 Lbs?",675
Brandon Bryan,"Lee: 185 lbs\nRob: 225 lbs\nBea: 300 lbs\nTotal: 710 lbs?",710
Lewis Gray,"My guess is 651 pounds?",651
Petros Stroggilos,"I think it's 695.5 lbs!! I hope it is!?",695
Josh Lunnon,"My guess is 657lbs ...\n<b>crossing my fingers for a month for good luck</b>?",657
TheMiisterH,"Your combined weight is probably 574 Pounds roughly... Thanks guys!!?",574
Joshua Nickerson,"combined weight... 710 lbs..?",710
Eskregliah,"Rob - 209\nLee - 154\nBea - 242\n\nso 605 pounds ??",605
Luiz Aro,"651 pounds?",651
morgan zajkowski,"693 lbs?",693
Javan Martokarijo,"My guess....\n840 lbs :D?",840
Daniel Kalinowski,"My guess is  645lbs<comma> with Lee around 170<comma> Rob Just around 200<comma> and Bea resting above 250.?",645
Tim Davis,"741 lbs?",741
Some Guy,"642lbs?",642
Jack Young,"My Guess for Rob's<comma> Captain's and Bea's weight combined is......... 704 lbs!!?",704
Ga?tan Belo,"My answer is 601<comma> 86 pounds !!!!!?",601
Joe Healey,"610 pounds?",610
GR3PunkHn,"650lbs.\nmore or less...I guess...jaa!\nhad a laugh with the dual tuner jokes lol?",650
GarrettX001,"636 lbs?",636
Patrick Devine,"611.22?",611
DKing Kain,"Lee 185lbs\nChappers 226lbs\nRebea 269lbs\n\nTotal 680lbs?",680
4x4conqueror,"Hmmm 642 lbs??",642
Wim Rijksen,"Heavy tones<comma> heavy bones: 682 pounds!?",682
KingBollock,"592lbs?",592
Jan M?ller,"606 pounds?",606
J+,"Rob - 222lbs\nCap - 163lbs\nBea- 249\n\nTotal - 634?",634
joe taylor,"648 lb?",648
Daniel Wilson,"713 pounds?",713
Doug Dixon,"Doug Dixon ' s guess is 649\ngreat video guys.?",649
Haris Duvnjak,"I guess 650.30?",650
Ibby Shred,"637 Lbs?",637
Ryan Stewart,"642?",642
Joel Ryan,"I believe the answer is 618 lbs... Cheers!!!?",618
Ricards Tronis,"666 pound stones<comma> the devil sent best regards?",666
Sebastian,"Captain: 172\nRob: 227\nBea: 280\n\nTotal: 679 lbs?",679
Riley Chrisman,"total=748.495?",748
Tiros,"I think you guys weight 674<comma>615 pounds all together. I?ll give this tip the name hope<comma> because it represents my feelings at it?s birth :D?",674
Jamey Young,"700 lbs of fabulous Capt. Monkey Fro.?",700
rudy martinez,"My guess is 629.5?",629
CamRebires,"I diagnose 555<comma>01 lbs?",555
Vlad Rus,"Lee 176<comma>37 pounds + Chappers pounds 264<comma>55 + Rabea 308<comma> 647 pounds = 749<comma>567 pounds of Andertons. Keep it up!?",647
Bruce Cruden,"I reckon a good solid 666 combined (sorry if I overshot) haha?",666
Randall Fisher,"All together I would guess 620 pounds .?",620
Jonah Carpenter,"683 lbs?",683
Rasmus Gammelgaard,"681 pounds?",681
BassmanBlazek,"653 Ibs mates?",653
Thiago Rocha,"Lee 187lb\nRob 233lb\nBea 246lb\n\nTotal => 666lb?",666
Mats P,"616 is my answer.?",616
brandom silva,"700lbs?",700
Tommy Stadey,"Rob-220\nCaptain-175\nRabea-265\nAll together- 660 pounds?",660
Pozzy 01,"lee: 161 lb\nrob:196 lb\nrabea: 217 lb\ncombine total = 574 lb?",574
ashley brennan,"685 pounds?",685
Kenji Fukuda,"667 lbs?",667
B andrewMusic,"My guess is 616 Ib?",616
Vili Lang,"675 lbs?",675
Archie Redman,"640?",640
TotalWarbringer,"671.31415 would be my guess?",671
Anamorphic Square,"I think I'm going to go for about 665 pounds. It's probably way off. But doesn't hurt to try now<comma> does it??",665
Chris Sutcliffe,"Total combined weight = 644 lbs?",644
Sebastian F Morales,"My guess is:\nLee:165 lb\nRob:209 lb\nRabea: 238 lb\nTotal:612 lb?",612
MrNan0,"613?",613
Mad_Maaat,"My Guess is a combined weight of 660Lb?",660
Christian Proud,"631.7lbs?",631
Zelos Photizo,"Lee 175 lbs\nRob 235 lbs\nBea 290 lbs\n<i>__________</i>\nTotal 700 lbs?",700
Pe Peroni,"Lee - 180Rob - 217Bea - 293Total = 690 Lbs?",690
Jacob Averbeck,"Total - 687lbs?",687
Frank Medina,"684?",684
Mikael Nilsson,"656<comma>9 lbs Is my guess =) Now gimmie that board... =) \nThanks for a super show as always guys!?",656
JenesisGaming,"im guessing around 670 lb?",670
Matthew Scott,"620lb?",620
Michael Heald,"I am going to guess 773lbs?",773
Rixon Keyes,"My Guess is 690lbs?",690
Edward Puljer,"700lbs  or in stone....a boulder..haha?",700
Mark Tomlinson,"Just going with: 611 lbs?",611
kanaK2Nakal,"715lb Boom!?",715
Gentry music,"I'm guessing 594 lbs<comma> most likely wrong but doesn't hurt to try i guess?",594
Brandon Naegely (Qweeznart),"My official random guess is that they are\n#623 lbs.#\nof the finest British man meat.?",623
seasrh,"My guess: 661 lbs?",661
MrBooterbaugh,"650lbs total?",650
Marcus Lanvers,"663?",663
D Peters,"669 lbs.?",669
Jack Harvey,"625.91 pounds?",625
Ben Walker,"ill shall guess "646" pounds?",646
Lukas Majonek,"my guess 666.666 lb?",666
Greg Baker,"I would say 569 LBS. total.?",569
pitloos,"I guess 632 pounds.?",632
I AM DEATHWISH,"I'm guessing about 580 lbs.?",580
Miles TEG,"659 lbs?",659
Isaiah Lazarov,"My guess: \nRob - 220lb\nLee - 180lb\nRabea - 255lb\nTotal weight - 660?",660
Lowercase Imaging,"im going with 663lbs total?",663
Drew Bermea,"715 pounds?",715
Matei Botan,"i'm guessing about 641 lb. Really wish i'd be close...but also really wish i'd get the smaller board (phaser and echo<comma> hell yeah!)?",641
Mattbac Witch,"672.4 lbs?",672
Aeolian Major,"608.5 lbs?",608
Apostolos Karatzas,"707 ?0.005 lb?",707
Lewis Payne,"I would guess 657 pounds?",657
THEKILLJOYSXD,"560.30lbs combined. :)?",560
Baxter Kennway,"My guess is:\nRob-223 lbs.\n"The Captain" Lee-191 lbs.\nRebea-279 lbs.\ntotal-680 to 700 lbs.\nGrand total-692.7 lbs.\n\nHope to be considered.?",680
LynxHD,"My guess is 651 lbs?",651
Zackery Thompson,"745 pounds??",745
Szabolcs Domonkos,"592 pounds!?",592
error,"588.48 lbs??",588
Jake Stuckless,"659 pounds?",659
Elliot Green,"I am thinking 658lbs?",658
Vishal Sheth,"Lee-179\nChappers-216\nBea-269\nTotal-664?",664
Pedro U,"Total Lbs: 710lbs?",710
Pic?,"My Guess: 617.29 pounds?",617
Yvon Guntz,"I guess 595.1 lbs?",595
Robert Carr,"I'm going with 654.5lbs (or 46.75 stone or 296.87621kG or .2696 metric tons....thanks Google).?",654
Carter Favorite,"681?",681
idan frenkel (firezoneman),"584?",584
Ug0td0uged,"590 lbs?",590
Em?lio Cordeiro,"My guess:\n\n629.63 lbs?",629
Joss Shronan,"671.52lbs?",671
VLUX,"My guess is about 664 lbs?",664
TheRevClyde,"730 pounds?",730
Jameson Garlington,"763 lbs. Btw guys these videos are always a blast to watch<comma> you're all fantastic players and these reviews and challenge videos are just great. Keep up the good work and Cheers from America!?",763
Conor O'Grady,"My guess is 672 pounds?",672
Mark Sutherby,"I think about 698lbs total?",698
defin99,"693lbs?",693
MrDragnbone,"677?",677
Alexander Jung,"725<comma>321 ibs combined :D?",725
Eric James,"my guess would be 707 pounds?",707
twlguitarsitBA,"726 pounds?",726
Lucas Moreira,"I'm guessing 670<comma>205 pounds.\n\nDirectly from Rio de Janeiro<comma> Brazil!! COngrats for the amazing videos!?",670
Ashley Coley,"My guess is a total of 749 pounds :)?",749
Xavi Aguilar,"673 pounds! Haha?",673
strumfun,"Rabea should lose weight and be a Rock God.That'll shut those tools up.Rabea is a handsome chap.?",
28Naufal,"835.5 lbs. That's my guess.?",835
php 281163,"I reckon 703 lbs?",703
Jo?o Rocha,"capman 166.449008 pounds\nmonkey the chaplord 196.211413 pounds\nsir afro god rabea 231.485375 pounds \nso in total:594<comma>145796 sry for the long number but i used an online converter. great video !?",449
TheMurch23,"$1000 (697.18 pounds)?",697
Bobby Papadop,"my guess is 638 pounds?",638
Brent Stutz,"723 pounds?",723
Ben Harper,"630 pounds?",630
dhia abd,"I'll go for 650 pounds?",650
Chord TheSeeker,"I guess 661 pounds.?",661
imorez1,"728lb?",728
Christian Arial,"Rob 230<comma> Fab 190 = 420lbs of Pure Milli Vanilli?",420
Conor Reed,"I'm gonna say 175 for Cap<comma> 195 for Chap<comma> and 215 for Bea<comma> all for a grand total of 585 lbs?",585
Simon Drummond,"650lbs?",650
PATRICK dallat,"680 lbs?",680
boiledgoose963,"my guess: 561 pounds?",561
Jamie Trezise,"740 pounds I reckon?",740
Camel Man,"Bea is hilarious And the collective weight is 815 pounds?",815
Ian James,"675 pounds<comma> I'd say.?",675
Joshua Parker,"685 pounds total.?",685
Nick,"I think I am the first lefthanded owner of a Chapman guitar in Ireland<comma>\nmaybe?",
Corey Davison,"711.5 lbs.??",711
Jarne Vreys,"625 pounds?",625
Grzegorz Mlacki,"648 lb?",648
disturbedheritic,"Total: 630lbs.?",630
mrhungrybutawesome,"620 lb?",620
Marko Todorovic,"My guess<comma>  701 total?",701
GCUZakalwe42,"Almost 10<comma>000 comments!? Good luck sorting through these guys.? Anywho<comma> here is my guess:654.? After making my guess<comma> I added 2 pounds for Bea's hair.? Sorry<comma> mate.?",654
Alex Steeden,"642lbs?",642
Antoine Fortin,"711 POUNDS?",711
Commanderpuff,"Think I gotta go with 667 lbs.?",667
Tobias Krebs,"i guess 648 pounds! you guys are heavy! ??",648
Eyeball Gaming Guitars,"My guess is 672lbs?",672
Jason Williams,"780lbs?",780
Pedro Freitas,"685 lb?",685
Jake Pawl,"663 pounds?",663
The Scarizard League,"595.2 lbs?",595
Ray Dorman,"665 lbs.?",665
phillip alabakis,"140+210+250=600?",600
ktulu193,"My guess is 705 pounds or ?896<comma>177 (am I doing this Imperial thing right?)?",705
xburnify,"Lets go with 611?",611
Seabeast ?SeabeastHS?,"My guess is 670lbs :^)?",670
johnmaloney1988,"630lbs?",630
Rick DiMaio,"661.3 lbs?",661
Jackanapes_Films,"755?",755
Agust?n De la Fuente,"661.387lb?",661
Hwizard (Hwizard),"my guess 643lbs?",643
Griff G,"Lee - 165\nRob - 240\nRabea - 270\nTotal - 675?",675
Paradox ENvY,"587 pounds?",587
Emi Rocks,"My guess! \n<i>________________</i>\n[Combined weight]\nTotal: 681.51lbs \n<i>________________</i>?",681
LucasCodPro,"Combined weight of 660.2?",660
Jeff Rose-Martland,"703lbs?",703
Anthony Wayne - Rootbeer,"766 with an error possible of +/- ?50?lbs is my guess.? Rebea is just a?bit smaller than my youngest son who stands at a massive 365-385<comma> so 345?+/- 30<comma> whom you?guys met at Rock and Roll Hall of Fame. Rob is about my size so 235 give or take 20<comma> and Captain is about the same size I was 11 years ago 186 give or take 10.?",766
syn014,"My guess is 699lbs?",699
phlie,"585 lb?",585
Nino Ra?idagi?,"Combined weight = 658 lb?",658
Jun Yu Ngu,"637lbs?",637
Rowan Vincent,"I'm gonna say 630lbs?",630
cubebobby,"706lbs?",706
cheesefruit200,"I reckon 617lbs?",617
Daisy Tickel,"576.8lb?",576
drumsNstuff79,"675 lbs.!! \n\nBTW Mooer makes awesome stuff! I love my Ensemble King chorus. In the world of overpriced stomp boxes<comma> Mooer pedals are a great value and IMHO sound just as good! Theses are working tools<comma> you know??",675
Joshua Taylor,"643lbs??",643
Gary Bangerter,"705 lbs?",705
AntifireXIII,"I guess 650?",650
Daniel Edison,"Total-650 lbs?",650
Gage Davidson,"675 Lbs?",675
D4sF3lix2000,"My Guess is \nLee : 185\nBea : 225\nRob : 209\nSo 619?",619
BbFuRg,"549 pounds?",549
Austin Arthur,"577 pounds?",577
Andrew Dryburgh,"total combined weight of 706 lbs?",706
Matt Thomas,"658 lbs?",658
David Dwyer,"464 lb?",464
Dany Cloutier,"Lee: 164 lb\nRob: 232 lb\nBea: 283 lb\n\ntotal: 679 lb?",679
Nick White,"663 lbs.?",663
Jonne Laakso,"274kg?",
Rich Williams,"715 lbs?",715
Green Giant,"686lb?",686
Lucas Shaffer,"638 pounds.?",638
John Coats,"637 lb?",637
John Chavasse,"560 pounds!?",560
Asad Rehman,"Hmmmm\nRabea- 275 lb\nRob-228lb\nLee-191 lb\n\nTotal 694?",694
David Coversx,"624.69?",624
CHMmusic,"well<comma> i'd say 560<comma>693 pounds.?",560
cx019,"661 lb i guess...?",661
Tai Parks,"my guess is 750 lb?",750
David Kingsley,"616 lbs?",616
horridhenryh,"765 lb?",765
Tommy Trant,"650lbs!?",650
Austin Twomey,"693 lbs.?",693
andrewleddy1,"504lb boooom!?",504
Kiril B,"685?",685
A-Daniel,"639.24 lbs?",639
Levan Khubulava,"769 Pounds?",769
David Martin,"My guess? 634.8Lb?",634
DFTBAish,"730lbs?",730
ahampel22,"Lee - 176\nRob - 225\nBea - 265\ntotal - 666?",666
malle26x,"My guess is 187 for the Captain<comma> 265 for Chappers and 253 for Bea<comma> a total of 705 pounds. Hope I am not too rude guys :)?",705
Logan Cantrell,"Rob: 256\nBea: 293\nCap: 177\n\n726 lbs?",726
Rhys Butler,"595 pounds?",595
Alfamaxis,"539 LB?",539
Jean Barreto,"Collective weight 640?",640
cj968655,"683 pounds(:?",683
Lane Vaselaar,"I would say around 615 lbs?",615
Joshua Bailey,"715?",715
Xander Rigby,"Going with 675 pounds I think?",675
Fred Buzz,"my educated guess (translated from kg to lbs) would be 648<comma>59998\nI refrain here from stating individual guesses. I just don't assume this as very polite :D?",648
Stuart Hill,"619lbs?",619
robert symonds,"686 lb!?",686
SirMunkz,"771 pounds :D?",771
Keinan Vivian,"595 ibs is my guess?",595
Teguvas,"784 ibs?",784
Nathanael Fjelstead,"I guess 675?",675
Israel Botello,"My guess you guys make a total of 712lb?",712
Stuart Hill,"Quite Pink Floyd-esque?",
Johann Faustus,"620?",620
Toni,"my guess: 674 pounds hope that it will be close enough :D?",674
jeff Whitley,"My guess: 698 lbs.?",698
corradine chris,"687lbs?",687
Floyd Gilmour,"I reckon 743 lbs?",743
Sean Qashat,"My guess is...\n\n632.75lb?",632
RocknRolla,"685 lbs?",685
Ethan Tegethoff,"641 lbs of Grade-A man meat.?",641
Emis Martinez,"imma guess 625 lb ^_^?",625
Robert Weinzettle,"610 pounds combined?",610
HoIyExecutioner,"610 Lbs.?",610
Cal R,"678 pounds?",678
Bruce Willke,"Combined weight ==  613lbs?",613
Jack Middlemiss,"657 pounds?",657
Jake Scott Bushnell,"616lbs?",616
Aidan Stuart,"Im guessing...   684lbs?",684
Grant Stewart,"591 lbs?",591
Eric Munion,"575?",575
Tony Pinar,"652 lbs!?",652
DrasticDrift,"703 Combined?",703
Brody Gates,"656 lbs. official guess?",656
Keith Antboy,"621<comma>704 lbs?",621
matthew topel,"648 pounds total. By the way<comma> great video.?",648
Ebidis 47,"680 pounds?",680
imReqzuh,"My guess is 675 lbs?",675
Jake Schmitz,"My guess is about 650 lbs?",650
JunhyungsB2UTY,"690 lbs?",690
ravikiran haritas,"My bet is 640 lbs.?",640
bighuse123,"543 lab final guess?",543
Sam Down,"my bet:673LB?",673
mick m,"Lee = 180\nRob= 235\nRabea = 251\nTotal = 666\nNumber of the beast?",666
German Alvarez,"663 lb?",663
Brandon Pierce,"632lb?",632
James Anthony,"428 pounds :)?",428
Devin Behrens,"640 pounds.\n\nGret video<comma> guys! As usual?",640
Arrow Arts,"About 668lbs? xxx?",668
Andreas H?venhoff Hald,"581 p great video!!?",581
Rockman655,"688 pounds?",688
J dizz,"690#?",690
CJ,"My guess is 700lbs?",700
Eric Hughes,"I'm going to say 635 pounds ?!??",635
Jeff Blackwell,"696 lbs?",696
Crimson Guy,"My guess for the total is 628 pounds(lbs). great video guys!?",628
Greg Brouelette,"695 pounds?",695
Ryan McFarlane,"My guess is \nLee: 190 lbs \nChap: 235 lbs \nRabear: 290lbs\nTotal: 715lbs?",715
Bartlomiej Winter,"My guess is 586.5 pounds\nLee 178.6 pounds\nRob 191.8 pounds\nRabea 216.1 pounds?",586
Juan Garcia,"Rob-250\nBea-295\nLee-190\n\nMy guess: 735lb!!!?",735
Enduran91,"I'm guessing: 628.317 pounds <-- Official Answer\nI live by the metric scale of Kilograms<comma> so it's kinda hard to gauge in pounds of weight! \n\nOr maybe 666pounds? hmmmm?",628
Paul Rousseau,"626?",626
Carlos Sanz,"My bet: 608 pounds.\n\nThanks for the contest!?",608
Jim Hall,"total 682lbs?",682
TheGoldenDaniiel | Minecraft & Guitar Playing,"My guess is 669 lb?",669
Stephen Hargreaves,"751.8lbs \n\nNaiiiiledit?",751
Quality Jam Tracks,"626?",626
Tom Benizri Levi,"695 lb<comma> that's my guess?",695
jraximus,"I'm guessing 675lbs?",675
naganud,"660 pounds?",660
Logan Sale,"615 lbs?",615
Dean Hobson,"689 pounds is my guess :)?",689
anatidaephobia67,"I'm gonna say 732 pounds?",732
Debbi,"669 lbs?",669
Marc-Andre C,"659?",659
SerbyPie,"650 pounds in total\nrob 210\nlee 190\nbea 250?",650
Pickles LZ,"535 pounds?",535
Chigratticus,"i reckon 641 pounds lads?",641
JesAx Music,"639 lb?",639
Benjamin Swanson,"617 pounds!?",617
Dan Comley,"I reckon about 710 pounds?",710
